DateTime;Voltage;Current;Capacity_step;State_of_Charge;Temperature;Checkup_No;Index;Charge_Throughput;Energy_Throughput
06:04:2022 09:38:31:382;4,186;0;0;100,25;25,8;0;Pause;113,8;425,1
06:04:2022 09:38:32:382;4,186;0;0;100,25;25,8;0;Pause;113,8;425,1
06:04:2022 09:38:33:382;4,186;0;0;100,25;25,8;0;Pause;113,8;425,1
06:04:2022 09:38:34:382;4,186;0;0;100,25;25,8;0;Pause;113,8;425,1
06:04:2022 09:38:35:382;4,186;0;0;100,25;25,8;0;Pause;113,8;425,1
06:04:2022 09:38:36:382;4,186;0;0;100,25;25,8;0;Pause;113,8;425,1
06:04:2022 09:38:37:382;4,186;0;0;100,25;25,8;0;Pause;113,8;425,1
06:04:2022 09:38:38:382;4,186;0;0;100,25;25,8;0;Pause;113,8;425,1
06:04:2022 09:38:39:382;4,186;0;0;100,25;25,8;0;Pause;113,8;425,1
06:04:2022 09:38:39:724;4,182;-0,007;0;100,25;25,8;0;Discharge;113,8;425,1
06:04:2022 09:38:39:726;4,174;-39,08;0;100,25;25,8;0;Discharge;113,8;425,1
06:04:2022 09:38:40:224;4,155;-49,979;0;100,24;25,8;0;Discharge;113,8;425,1
06:04:2022 09:38:40:724;4,153;-50,002;0;100,23;25,8;0;Discharge;113,8;425,1
06:04:2022 09:38:41:224;4,152;-50,002;0;100,21;25,8;0;Discharge;113,8;425,1
06:04:2022 09:38:41:724;4,15;-50;0;100,2;25,8;0;Discharge;113,8;425,2
06:04:2022 09:38:42:224;4,15;-50;0;100,19;25,8;0;Discharge;113,8;425,2
06:04:2022 09:38:42:724;4,149;-50;0;100,18;25,8;0;Discharge;113,8;425,2
06:04:2022 09:38:43:224;4,148;-50;0;100,17;25,8;0;Discharge;113,8;425,3
06:04:2022 09:38:43:724;4,147;-50;0;100,15;25,8;0;Discharge;113,8;425,3
06:04:2022 09:38:44:224;4,146;-50,002;0;100,14;25,8;0;Discharge;113,8;425,3
06:04:2022 09:38:44:724;4,145;-50,002;0;100,13;25,8;0;Discharge;113,8;425,3
06:04:2022 09:38:45:224;4,145;-50,002;0;100,12;25,8;0;Discharge;113,8;425,4
06:04:2022 09:38:45:724;4,144;-50;0;100,1;25,8;0;Discharge;113,8;425,4
06:04:2022 09:38:46:224;4,144;-50,002;0;100,09;25,8;0;Discharge;113,8;425,4
06:04:2022 09:38:46:724;4,143;-50,002;0;100,08;25,8;0;Discharge;113,9;425,5
06:04:2022 09:38:47:224;4,142;-50,002;0;100,07;25,8;0;Discharge;113,9;425,5
06:04:2022 09:38:47:724;4,142;-50;0;100,06;25,8;0;Discharge;113,9;425,5
06:04:2022 09:38:48:224;4,141;-50,002;0;100,04;25,8;0;Discharge;113,9;425,5
06:04:2022 09:38:48:724;4,141;-50;0;100,03;25,8;0;Discharge;113,9;425,6
06:04:2022 09:38:49:224;4,14;-50;0;100,02;25,8;0;Discharge;113,9;425,6
06:04:2022 09:38:49:724;4,139;-50;0;100,01;25,8;0;Discharge;113,9;425,6
06:04:2022 09:38:50:224;4,139;-50;0;99,99;25,8;0;Discharge;113,9;425,7
06:04:2022 09:38:50:724;4,138;-50;0;99,98;25,8;0;Discharge;113,9;425,7
06:04:2022 09:38:51:224;4,138;-50,002;0;99,97;25,8;0;Discharge;113,9;425,7
06:04:2022 09:38:51:724;4,137;-50;0;99,96;25,8;0;Discharge;113,9;425,7
06:04:2022 09:38:52:224;4,137;-50;0;99,95;25,8;0;Discharge;113,9;425,8
06:04:2022 09:38:52:724;4,136;-50;0;99,93;25,8;0;Discharge;113,9;425,8
06:04:2022 09:38:53:224;4,136;-50;0;99,92;25,8;0;Discharge;113,9;425,8
06:04:2022 09:38:53:724;4,135;-50;0;99,91;25,8;0;Discharge;113,9;425,9
06:04:2022 09:38:54:224;4,134;-50;0;99,9;25,8;0;Discharge;114;425,9
06:04:2022 09:38:54:724;4,134;-50;0;99,88;25,8;0;Discharge;114;425,9
